,ann_vol_30,vix
2014-03-12,12.342429391215415,14.47
2014-03-13,12.350572129954337,16.219998999999998
2014-03-14,12.095476008319393,17.82
2014-03-17,12.086849432129759,15.64
2014-03-18,11.85933677971148,14.52
2014-03-19,11.715075210593213,15.12
2014-03-20,11.565312657017039,14.52
2014-03-21,11.454948134485585,15.0
2014-03-24,11.42756285432079,15.09
2014-03-25,11.645435073152331,14.02
2014-03-26,11.687076623290036,14.93
2014-03-27,11.502123615974778,14.62
2014-03-28,11.485593545426587,14.41
2014-03-31,11.721366327221862,13.88
2014-04-01,11.52762006423934,13.1
2014-04-02,11.45022783454614,13.09
2014-04-03,11.728011141487352,13.37
2014-04-04,11.782982971328707,13.96
2014-04-07,11.246358002015967,15.57
2014-04-08,10.951280470583603,14.89
2014-04-09,11.127705427287585,13.82
2014-04-10,10.728663804631488,15.89
2014-04-11,8.710061128694784,17.030001000000002
2014-04-14,8.210779240619582,16.110001
2014-04-15,8.021363367170892,15.61
2014-04-16,7.953712000028402,14.18
2014-04-17,7.494386493154518,13.36
2014-04-21,7.494550231172801,13.25
2014-04-22,7.461669569851429,13.19
2014-04-23,7.409523682718958,13.27
2014-04-24,7.522597254270995,13.32
2014-04-25,7.586510234282024,14.06
2014-04-28,7.068823639012164,13.97
2014-04-29,7.06822823151923,13.71
2014-04-30,7.134803481464267,13.41
2014-05-01,7.48745930876319,13.25
2014-05-02,7.510619548374016,12.91
2014-05-05,7.481009604920749,13.29
2014-05-06,7.484473840428881,13.8
2014-05-07,7.109699936224638,13.4
2014-05-08,7.009128648055678,13.43
2014-05-09,6.961111405286426,12.92
2014-05-12,6.976929856913305,12.23
2014-05-13,6.900475100326808,12.13
2014-05-14,6.989820961113552,12.17
2014-05-15,6.814506964272875,13.17
2014-05-16,6.05721820915914,12.44
2014-05-19,6.046698394183249,12.42
2014-05-20,6.19247904049389,12.96
2014-05-21,5.72971040276725,11.91
2014-05-22,5.532301191958205,12.03
2014-05-23,5.753115982318445,11.36
2014-05-27,6.182396469053869,11.51
2014-05-28,6.1050329398861205,11.68
2014-05-29,6.253981008175331,11.57
2014-05-30,6.120542334360078,11.4
2014-06-02,6.221142200122723,11.58
2014-06-03,6.273882841151296,11.87
2014-06-04,6.335044153296414,12.08
2014-06-05,7.312480612375602,11.68
2014-06-06,7.6366324727587696,10.73
2014-06-09,7.589130828474754,11.15
2014-06-10,7.70045120447784,10.99
2014-06-11,7.704234356881059,11.6
2014-06-12,7.606562968550213,12.56
